VM 2026 – konkurranse,,,,,,,
"Tippeark basert på EM 2024-oppsettet – tilpassa VM 2026 med 48 lag, 12 grupper og 104 kampar.",,,,,,,
,,,,,,,
"Gruppespel: 5p rett utfall (H/U/B), 25p rett teikn + rett resultat. Straffekonk tel ikkje.",,,,,,,
,,,,,,,
Dato,Gruppe,Heimelag,Bortelag,Stadion,Tips H,Tips B,Tips teikn
2026-06-11,Group A,Mexico,South Africa,Mexico City Stadium,,,
2026-06-11,Group A,Korea Republic,Czechia,Estadio Guadalajara,,,
2026-06-18,Group A,Czechia,South Africa,Atlanta Stadium,,,
2026-06-18,Group A,Mexico,Korea Republic,Estadio Guadalajara,,,
2026-06-24,Group A,Czechia,Mexico,Mexico City Stadium,,,
2026-06-24,Group A,South Africa,Korea Republic,Estadio Monterrey,,,
2026-06-12,Group B,Canada,Bosnia and Herzegovina,Toronto Stadium,,,
2026-06-13,Group B,Qatar,Switzerland,San Francisco Bay Area Stadium,,,
2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,,,
2026-06-18,Group B,Canada,Qatar,BC Place Vancouver,,,
2026-06-24,Group B,Switzerland,Canada,BC Place Vancouver,,,
2026-06-24,Group B,Bosnia and Herzegovina,Qatar,Seattle Stadium,,,
2026-06-13,Group C,Haiti,Scotland,Boston Stadium,,,
2026-06-13,Group C,Brazil,Morocco,New York New Jersey Stadium,,,
2026-06-19,Group C,Brazil,Haiti,Philadelphia Stadium,,,
2026-06-19,Group C,Scotland,Morocco,Boston Stadium,,,
2026-06-24,Group C,Scotland,Brazil,Miami Stadium,,,
2026-06-24,Group C,Morocco,Haiti,Atlanta Stadium,,,
2026-06-12,Group D,USA,Paraguay,Los Angeles Stadium,,,
2026-06-13,Group D,Australia,Türkiye,BC Place Vancouver,,,
2026-06-19,Group D,Türkiye,Paraguay,San Francisco Bay Area Stadium,,,
2026-06-19,Group D,USA,Australia,Seattle Stadium,,,
2026-06-25,Group D,Türkiye,USA,Los Angeles Stadium,,,
2026-06-25,Group D,Paraguay,Australia,San Francisco Bay Area Stadium,,,
2026-06-14,Group E,Côte d'Ivoire,Ecuador,Philadelphia Stadium,,,
2026-06-14,Group E,Germany,Curaçao,Houston Stadium,,,
2026-06-20,Group E,Germany,Côte d'Ivoire,Toronto Stadium,,,
2026-06-20,Group E,Ecuador,Curaçao,Kansas City Stadium,,,
2026-06-25,Group E,Curaçao,Côte d'Ivoire,Philadelphia Stadium,,,
2026-06-25,Group E,Ecuador,Germany,New York New Jersey Stadium,,,
2026-06-14,Group F,Netherlands,Japan,Dallas Stadium,,,
2026-06-14,Group F,Sweden,Tunisia,Estadio Monterrey,,,
2026-06-20,Group F,Netherlands,Sweden,Houston Stadium,,,
2026-06-20,Group F,Tunisia,Japan,Estadio Monterrey,,,
2026-06-25,Group F,Japan,Sweden,Dallas Stadium,,,
2026-06-25,Group F,Tunisia,Netherlands,Kansas City Stadium,,,
2026-06-15,Group G,IR Iran,New Zealand,Los Angeles Stadium,,,
2026-06-15,Group G,Belgium,Egypt,Seattle Stadium,,,
